1 - 2                  EXTRA CORSA
2 - 4                  ALT E BOTTONIERA MANUTENZIONE
4 - 5                  INTER FOSSA
5 - 6                  ALT CABINA
6 - 7                  PARACADUTE
7 - 8                  PRELIMINARI
8 - 9                  PORTE CABINA(SIA IN BATTENTE CHE IN AUTOMATICO)
9 - 10                 BLOCCHI

MA - MB - GND          DEVIATORE MANUTENZIONE
UP / DW                PULSANTI ISPEZIONE
CB                     COMUNE CHIAMATE CABINA
CE                     COMUNE CHIAMATE ESTERNE
CB - 0, CB - 1...      CHIAMATE CABINA (SU PERIFERICA)
CE - 0, CE - 1...      CHIAMATE ESTERNE (SU PERIFERICA)
CL - 0, CL - 1...      SEGNALAZIONE POSIZIONE (SU PERIFERICA QUADRO)
CL - FS                SEGNALAZIONE FRECCIA SALITA
CL - FD                SEGNALAZIONE FRECCIA DISCESA
CL - SV                SEGNALAZIONE SOVRACCARICO
CL - GON               SEGNALAZIONE GONG IN CABINA
CL - OCC               SEGNALAZIONE OCCUPATO
PE                     RITORNO PRESENTE

GND - FCD              BISTABILE FINE CORSA DISCESA
GND - FCS              BISTABILE FINE CORSA SALITA
GND - ID               INDUTTORE CONTEGGIO DISCESA
GND - IS               INDUTTORE CONTEGGIO SALITA
GND - IP1, GND - IP2   INDUTTORI CABINA AL PIANO E ZONA SICUREZZA  (SU BOX CABINA E SU QUADRO)
GND - IAX              INDUTTORE FERMATA CON PIANI CORTI ESTREMI
GND - PA               PULSANTE APERTURA PORTE
GND - SVR              CONTATTO SOVRACCARICO
GND - CM1              COSTOLA MOBILE - FOTOCELLULA LATO 1
GND - CM2              COSTOLA MOBILE - FOTOCELLULA LATO 2
GND - FM               FONDO MOBILE

PR+ - PR-              PATTINO RETRATTILE

IG - IG                4° POLO INTERRUTTORE GENERALE
+24                    24V GRUPPO BATTERIE
+48                    48V GRUPPO BATTERIE
-                      NEGATIVO GRUPPO BATTERIE
LE - LE                SPIA IN EMERGENZA 24V
